PUN,Status,Image,Total Execution Time (s)
1122299M01100020,Pass,13,0.4850773926180162
1122299M01401340,Pass,31,0.16262599891242369
1122299M01201360,Pass,24,0.3806917944307986
1122299M01301650,Pass,24,0.4540035931576504
1122299M01301810,Pass,22,0.5504134914833757
1222299M01301210,Pass,12,0.5718748911106726
1122299M01100270,Pass,21,0.25564419660240156
1222299M01400980,Pass,31,0.15853549898346017
1122298M01302720,Pass,33,0.26618119711406224
1122299M01101750,Pass,13,0.6302167900974947
1122298M01202470,Pass,32,0.2937001966361614
1222299M01101230,Pass,13,0.6048699905376727
1122299M01101670,Pass,22,0.5236424919482865
1122299M01301410,Pass,11,0.2528781966504365
1122299M01200680,Pass,34,0.31173229632301225
1222299M01101030,Pass,11,0.2628371964774864
1122299M01401580,Pass,24,0.43295299352321953
1122298M01402530,Pass,31,0.15666469901594887
1122299M01100750,Pass,32,0.3278121960437653
1222299M01201080,Pass,23,0.4178602937853226
1222299M01201160,Pass,33,0.29823149655746994
1122299M01400130,Pass,24,0.5907313907832066
1122299M01200840,Pass,11,0.25903609654349713
1122299M01201800,Pass,33,0.2897313967050845
1122298M01402530,Pass,21,0.20888589741441604
1122299M01301570,Pass,22,0.5289530918560615
1122298M01302520,Pass,33,0.30157589649939043
1222299M01401060,Pass,34,0.3308678959906993
1122299M01100950,Pass,32,0.3689645953291041
1122299M01101630,Pass,34,0.28420279680109534
1122299M01401740,Pass,31,0.15662349901666436
1122298M01402650,Pass,34,0.30931099636506104
1222299M01101110,Pass,14,0.4877919925708739
1122299M01401300,Pass,12,0.5469881915428603
1122299M01100830,Pass,33,0.2728249969986846
1122299M01200070,Pass,34,0.2893324967120119
1122299M01301770,Pass,14,0.5101901921819021
1222299M01301090,Pass,11,0.25140949667594226
1222299M01401140,Pass,21,0.20798359743008557
1122299M01101670,Pass,33,0.32041959617214677
1122299M01101550,Pass,13,0.5232361919553424
1122299M01401660,Pass,11,0.28024649617515285
1122299M01200230,Pass,23,0.6293076901132824
1122299M01400420,Pass,24,0.5533125914330294
1122298M01402690,Pass,21,0.20170859753905857
1122299M01101470,Pass,32,0.2719527970138314
1122298M01202710,Pass,13,0.5635100912559374
1122299M01401660,Pass,32,0.30160469649889027
1122299M01200480,Pass,11,0.25931399653867104
1122299M01300890,Pass,31,0.15233389909115846
1122299M01101750,Pass,33,0.2885215967260941
1122299M01301290,Pass,24,0.40340389403637544
1122299M01300690,Pass,24,0.46581899295246165
1122299M01301370,Pass,13,0.6355843900042799
1122299M01401340,Pass,32,0.22114479789617386
1122299M01101630,Pass,21,0.1992573975816266
1122299M01200360,Pass,13,0.7941808872500598
1122299M01301490,Pass,13,0.5850316908821886
1122299M01301650,Pass,23,0.4063872939845651
1122299M01301370,Pass,14,0.5488673915102256
1122299M01400170,Pass,13,0.8216076867737601
1122299M01200360,Pass,32,0.3167002962367369
1122299M01101710,Pass,33,0.41574099451677515
1122299M01400340,Pass,13,0.7556035879200012
1122299M01301570,Pass,21,0.2804352961718741
1122298M01302440,Pass,12,0.6557502896540746
1122299M01100470,Pass,23,0.5357699917376779
1122299M01300850,Pass,34,0.3511496956384813
1122298M01302680,Pass,34,0.30316949647171565
1122299M01201440,Pass,13,0.581147290949646
1122299M01201720,Pass,12,0.7031081888316473
1122299M01401260,Pass,22,0.38183249441098893
1122299M01400500,Pass,23,0.5402410916600318
1122299M01100180,Pass,12,0.7782222875272
1122299M01401660,Pass,21,0.20960979740184466
1122299M01300890,Pass,32,0.3619508954509054
1122299M01200480,Pass,22,0.40986769392412375
1222299M01301050,Pass,31,0.15687699901226204
1122299M01201640,Pass,33,0.2954756966053278
1122298M01102540,Pass,12,0.558373991345132
1122299M01101430,Pass,33,0.29449579662234493
1122298M01302440,Pass,32,0.28372519680938946
1122299M01200840,Pass,12,0.4979364923947024
1122299M01201240,Pass,24,0.5215805919840939
1122298M01202670,Pass,33,0.30511259643797134
1122299M01401540,Pass,32,0.28992939670164597
1222299M01400980,Pass,32,0.357064995535755
1222299M01301170,Pass,32,0.2812361968526139
1122299M01400130,Pass,13,0.45008279322573985
1122299M01301490,Pass,33,0.3219228961460401
1122299M01301530,Pass,31,0.1573996990031847
1122299M01200960,Pass,34,0.43206379423331
1122299M01100630,Pass,22,0.47807719273958316
1222299M01201040,Pass,32,0.33729539587907803
1122299M01301370,Pass,31,0.15736289900382378
1122299M01400170,Pass,14,0.8537200862160894
1122299M01400130,Pass,14,0.7664935877308832
1122299M01100470,Pass,22,0.45936399306456055
1122299M01301730,Pass,24,0.45958629306070004
1122299M01400780,Pass,34,0.3360821959001467
1222299M01301130,Pass,22,0.45277959317890665
1122299M01200110,Pass,14,0.5600328913163233
1122299M01200110,Pass,11,0.271177496332647
1122299M01101630,Pass,22,0.49633419242252824
1122299M01200800,Pass,11,0.23988529687607393
1122299M01400540,Pass,22,0.5579071913532385
1222299M01101110,Pass,33,0.48220419336256126
1122299M01401700,Pass,12,0.6122046904102967
1122299M01300890,Pass,23,0.464762092970816
1122299M01201360,Pass,14,0.5528981914402259
1122299M01201560,Pass,24,0.4881510925646377
1122299M01400170,Pass,22,0.630879790085981
1122299M01400860,Pass,23,0.5376436917051388
1122299M01301810,Pass,24,0.40934499393320106
1122299M01400660,Pass,24,0.46910829289533895
1122299M01400340,Pass,31,0.15254529908748726
1122299M01201680,Pass,31,0.15526949904017823
1122299M01400010,Pass,24,0.37379529455056465
1122299M01100180,Pass,33,0.3759868952071532
1122299M01400780,Pass,31,0.15791399899425326
1122299M01300330,Pass,32,0.3119999963183633
1122299M01401300,Pass,23,0.46073199304080353
1122299M01100060,Pass,24,0.46643429294177624
1122299M01200110,Pass,34,0.28538949678048686
1122299M01401340,Pass,34,0.23272659769504186
1122299M01200720,Pass,32,0.3769753951899868
1122298M01402490,Pass,34,0.298327196555808
1122299M01300120,Pass,34,0.25970699722649454
1122299M01101790,Pass,12,0.6112087904275918
1122299M01400540,Pass,23,0.4229589936967774
1122299M01100430,Pass,21,0.2331518969930076
1122299M01201680,Pass,32,0.29770789656656294
1122298M01202470,Pass,34,0.2792592968869452
1122299M01401420,Pass,13,0.62580159017417
1122298M01302600,Pass,11,0.2723219963127714
1122299M01300690,Pass,21,0.262525696482896
1122298M01402610,Pass,11,0.35210529492723774
1222299M01301130,Pass,32,0.29254429665623505
1122299M01200720,Pass,14,0.8641292860353209
1122299M01100470,Pass,21,0.2516765966713037
1122299M01400090,Pass,23,0.3516201949356621
1222299M01101190,Pass,14,0.6934748889989413
1222299M01101070,Pass,11,0.24994839670131602
1122298M01102660,Pass,23,0.36546159469528944
1122298M01402530,Pass,23,0.396499594156277
1222299M01401020,Pass,24,0.5708322911287786
1122299M01200920,Pass,21,0.2323661970066522
1122299M01301610,Pass,13,0.5477982915287918
1122299M01300160,Pass,22,0.5333040917805012
1122299M01300610,Pass,34,0.2796500968801585
1122299M01401500,Pass,34,0.26914589706257663
1222299M01101150,Pass,34,0.33915349584680987
1122299M01300730,Pass,11,0.2578891965634144
1122299M01300250,Pass,13,0.8638373860403903
1122299M01300930,Pass,13,0.6962044889515384
1222299M01401100,Pass,33,0.4171583944921603
1122299M01400460,Pass,11,0.262451296484188
1122299M01201760,Pass,33,0.29070069668825144
1122299M01101590,Pass,13,0.43661439345963493
1122299M01100750,Pass,21,0.22278189717309518
1122299M01300290,Pass,21,0.24467379679291584
1122299M01200720,Pass,24,0.5901556907932044
1122299M01200520,Pass,11,0.2775129962226234
1122299M01300650,Pass,34,0.2825313968301212
1122299M01100060,Pass,13,0.7330601883114947
1122299M01300490,Pass,13,0.6800831892315042
1122299M01100750,Pass,11,0.26122039650556406
1122299M01100180,Pass,13,0.7919775872883226
1222299M01301210,Pass,21,0.2084318974223003
1122298M01402610,Pass,24,0.3227833954364481
1222299M01100990,Pass,24,0.43915919341544135
1122298M01102580,Pass,14,0.5627209912696411
1122298M01202510,Pass,11,0.25915839654137324
1122299M01400420,Pass,13,0.640931889911414
1122299M01200070,Pass,24,0.7596348878499928
1122299M01301250,Pass,31,0.1513001991091099
1122299M01201520,Pass,21,0.20521569747815352
1122299M01301290,Pass,12,0.6142291903751389
1122299M01200760,Pass,33,0.41880989446348005
1122299M01201520,Pass,13,0.5213684919877773
1222299M01101030,Pass,13,0.6814116892084334
1122299M01200640,Pass,31,0.15213889909454487
1122299M01200560,Pass,12,0.7213332885151464
1122299M01200230,Pass,31,0.16118079893752132
1222299M01101230,Pass,22,0.48716219258181115
1122299M01200800,Pass,14,0.776471887557598
1122299M01400900,Pass,32,0.2955337966043188
1122299M01200560,Pass,13,0.6432214898716524
1122298M01202590,Pass,13,0.5380386916982791
1122298M01402570,Pass,12,0.6555473896575983
1222299M01301170,Pass,12,0.7144014886355254
1222299M01201080,Pass,34,0.3254045960855762
1122299M01100910,Pass,23,0.3185902955092663
1122299M01200440,Pass,34,0.33142229598107154
1122299M01100510,Pass,23,0.4739726928108628
1122299M01300530,Pass,24,0.45557249313040454
1122299M01201240,Pass,14,0.5364365917261016
1222299M01401140,Pass,22,0.4577240930930394
1122299M01100510,Pass,32,0.31340099629403323
1122298M01302440,Pass,14,0.5718958911103078
1122298M01102620,Pass,22,0.42989529357632017
1222299M01401060,Pass,23,0.4365439934608575
1122299M01201280,Pass,31,0.15421689905845787
1122299M01300570,Pass,31,0.1588283989783736
1122299M01100270,Pass,11,0.2563133965907801
1122299M01100790,Pass,24,0.43261219352913793
1122299M01400090,Pass,13,0.5703773911366785
1222299M01301130,Pass,12,0.6720736893705992
1122299M01201640,Pass,22,0.4300617935734287
1122299M01100270,Pass,13,0.7106396887008537
1122299M01400700,Pass,32,0.35160199563062655
1222299M01300970,Pass,22,0.5317921918067572
1122299M01300290,Pass,12,0.6878698890962789
1122299M01100140,Pass,11,0.36610379468413684
1122299M01300530,Pass,23,0.3590496948066398
1222299M01300970,Pass,33,0.30403669645665565
1122299M01100270,Pass,24,0.48074099269332304
1122299M01100950,Pass,22,0.4486484932506482
1122299M01400620,Pass,13,0.7521005879808349
1122299M01401620,Pass,33,0.27939969688450694
1122299M01100310,Pass,32,0.2485165974208294
1122298M01202550,Pass,14,0.4306971935623942
1222299M01201040,Pass,24,0.4958050924317167
1122299M01401820,Pass,14,0.618579690299587
1122299M01401540,Pass,33,0.4344656941915981
1122299M01200560,Pass,21,0.23654939693400587
1122299M01100060,Pass,34,0.23280119769374635
1122299M01400460,Pass,32,0.33294129595469224
1122298M01102620,Pass,14,0.4838910926386178
1122299M01201560,Pass,12,0.565744391217136
1122298M01302640,Pass,33,0.29769019656687035
1122299M01300530,Pass,31,0.1577352989973566
1122299M01300200,Pass,32,0.3728757952611813
1122299M01101310,Pass,11,0.24819229673181284
1122299M01200240,Pass,13,0.569726391147984
1122299M01400420,Pass,31,0.15672109901496942
1122299M01401460,Pass,22,0.328136495343485
1122299M01301770,Pass,24,0.41451349384344377
1122299M01400940,Pass,23,0.4847724926233112
1122299M01400620,Pass,12,0.7189871885558894
1122299M01300770,Pass,33,0.4107124946041012
1122299M01300610,Pass,21,0.24699149675266618
1122299M01400540,Pass,24,0.4320759935384497
1122299M01301290,Pass,33,0.5043100929786656
1122298M01102660,Pass,24,0.3884958942952709
1122299M01101270,Pass,22,0.4381309934332973
1122299M01101350,Pass,33,0.2917608966698398
1122299M01100470,Pass,13,0.8148062868918746
1122298M01302640,Pass,31,0.2127532980419024
1122299M01100470,Pass,32,0.2528635973453385
1122299M01300530,Pass,22,0.5792054909833677
1122299M01100950,Pass,12,0.5963364906858672
1122299M01300370,Pass,21,0.23608909694199953
1122299M01400260,Pass,34,0.2679159970839353
1122299M01200280,Pass,22,0.6011489906022922
1122299M01100910,Pass,12,0.6197447902793538
1122299M01200360,Pass,33,0.4037757947245654
1122298M01102580,Pass,22,0.5232949919543213
1122299M01100220,Pass,31,0.15691869901153785
1122299M01300450,Pass,21,0.23390029698001072
1122299M01300650,Pass,22,0.5693015911553609
1122298M01102460,Pass,14,0.464866492969003
1122299M01101350,Pass,32,0.3092997963652555
1122299M01200070,Pass,11,0.3173839955302152
1122299M01301730,Pass,13,0.5327165917907037
1122299M01301450,Pass,11,0.25690609658048713
1222299M01101030,Pass,31,0.16210289892150795
1122298M01302480,Pass,13,0.5770906910200939
1222299M01301130,Pass,33,0.31616869624596877
1122299M01201600,Pass,11,0.2635513964650834
1122299M01200280,Pass,14,0.5236540919480851
1122299M01400340,Pass,32,0.34765579569915717
1122299M01100790,Pass,31,0.16045759895008058
1122299M01300850,Pass,24,0.5361150917316848
1122299M01301530,Pass,33,0.3063685964161594
1122299M01400010,Pass,11,0.2856764960808543
1122299M01300250,Pass,21,0.22665449710584282
1222299M01300970,Pass,14,0.626599290160317
1122299M01200640,Pass,22,0.4403441933948624
1122299M01100630,Pass,24,0.542032891628915
1222299M01201080,Pass,13,0.6749723893202595
1122299M01100140,Pass,14,0.570723491130668
1122299M01401300,Pass,11,0.2718049963217497
1122299M01400170,Pass,31,0.1561807990243524
1122299M01201680,Pass,34,0.29467419661924676
1122299M01201800,Pass,21,0.19871029759112768
1122299M01401780,Pass,12,0.637281189974813
1122299M01400820,Pass,33,0.3487410956803096
1122299M01200520,Pass,22,0.5733877910843992
1122299M01401380,Pass,22,0.2964355958940095
1122299M01200360,Pass,24,0.41385249385492284
1122299M01201240,Pass,21,0.19897719758649263
1122299M01301810,Pass,14,0.5808164909553908
1122299M01101310,Pass,21,0.20896069741311707
1122298M01302440,Pass,23,0.4135463938602386
1222299M01400980,Pass,11,0.26157159649946504
1122299M01300610,Pass,32,0.32283229613024733
1122299M01101510,Pass,11,0.2605662965169233
1122299M01201720,Pass,23,0.45770249309341454
1122298M01302600,Pass,33,0.33472749592367274
1122299M01100270,Pass,33,0.3980713948236292
1122299M01401700,Pass,22,0.30232139579179546
1122299M01201800,Pass,32,0.3275978960474869
1122299M01200440,Pass,24,0.43444089349738035
1122299M01400580,Pass,12,0.771473787644396
1122299M01400340,Pass,22,0.4026571940493428
1122299M01200920,Pass,33,0.3129820963013079
1122299M01300810,Pass,13,0.7739610876012009
1222299M01401220,Pass,33,0.2935266966391745
1222299M01401220,Pass,22,0.28296159612800187
1122299M01200600,Pass,12,0.6751628893169512
1122299M01401460,Pass,33,0.47563009347672847
1122299M01100310,Pass,22,0.5210047919940934
1122299M01301610,Pass,23,0.33518249522112264
1122299M01101350,Pass,24,0.47216889284218794
1122299M01101390,Pass,34,0.28978009670423877
1122299M01100140,Pass,21,0.22288059717138112
1122299M01401780,Pass,31,0.15785039899535777
1122299M01300080,Pass,13,0.549869891492816
1122299M01200560,Pass,24,0.5062126922509762
1122299M01201400,Pass,24,0.41218689388384805
1122299M01301770,Pass,21,0.22912619706291873
1122299M01300080,Pass,33,0.3370107958840205
1122299M01301290,Pass,21,0.20498339748218772
1122299M01301730,Pass,22,0.49585119243091613
1122298M01402450,Pass,31,0.15682279901320328
1222299M01401060,Pass,32,0.2929081966499155
1122299M01400500,Pass,31,0.1540996990604932
1222299M01300970,Pass,24,0.5750794910550208
1122299M01400620,Pass,21,0.22837359707598856
1122299M01200560,Pass,32,0.20535439817039328
1122299M01201600,Pass,33,0.32088589616404883
1122299M01300450,Pass,22,0.5902852907909535
1122299M01201520,Pass,14,0.5563664913799946
1122298M01102660,Pass,31,0.16347209889773012
1122299M01200600,Pass,32,0.24306669751547352
1122299M01301690,Pass,11,0.2580740965602034
1122299M01200880,Pass,11,0.26202669649156174
1122299M01100390,Pass,32,0.2955256966044595
1122299M01100870,Pass,34,0.3332869959486887
1222299M01100990,Pass,14,0.5929828907441066
1122298M01402610,Pass,31,0.15654889901795987
1122299M01100510,Pass,31,0.15597529902792112
1122299M01200680,Pass,21,0.2235731971593533
1122299M01401700,Pass,32,0.29895819654484995
1122299M01300570,Pass,34,0.28119669685329984
1122299M01400420,Pass,12,0.6810103892154025
1122299M01100630,Pass,14,0.6419248898941694
1122299M01301290,Pass,34,0.25675649727773353
1122299M01201520,Pass,23,0.5273342918841739
1122298M01302440,Pass,11,0.3611160947707543
1122299M01400050,Pass,34,0.2872961967473747
1222299M01201040,Pass,12,0.5975219906652796
1122299M01100350,Pass,13,0.8419537864204254
1122299M01201440,Pass,14,0.6297671901053026
1122299M01201600,Pass,24,0.5432205916082891
1122298M01202670,Pass,34,0.3518160956269085
1122299M01100470,Pass,34,0.38275619508959624
1122299M01300890,Pass,12,0.5856825908708851
1122299M01200520,Pass,31,0.1585940989824425
1122299M01101510,Pass,13,0.5778882910062426
1122299M01300730,Pass,14,0.7279949883994579
1122298M01402490,Pass,12,0.5607130913045106
1122299M01201640,Pass,32,0.3402377958279797
1122299M01301490,Pass,12,0.4157484938219965
1122299M01401300,Pass,21,0.2782217962103142
1122299M01101790,Pass,34,0.27146549702229394
1122299M01101710,Pass,14,0.6489854897715537
1122299M01100470,Pass,24,0.5745030910650306
1122299M01100870,Pass,11,0.258710296549155
1122299M01200240,Pass,22,0.5097771921890742
1122299M01400940,Pass,33,0.3564261955468485
1122299M01201640,Pass,14,0.4324338935322343
1222299M01401220,Pass,12,0.5070947922356575
1122299M01300290,Pass,32,0.3157630962530125
1122299M01301810,Pass,21,0.1994630975780544
1122299M01101270,Pass,32,0.24851719742081899
1122298M01302560,Pass,24,0.4647216929715176
1122298M01202510,Pass,14,0.5681044911761501
1122299M01200070,Pass,22,0.5403443916582378
1222299M01400980,Pass,22,0.39965189410153346
1122299M01201400,Pass,23,0.38267059439643425
1122299M01301530,Pass,23,0.5155091920895312
1122299M01401260,Pass,34,0.2971336965765346
1122299M01200150,Pass,12,0.6476898897940533
1122299M01200150,Pass,32,0.3053666964335586
1122299M01301530,Pass,12,0.6073210904951063
1222299M01301050,Pass,21,0.23481569696411367
1122299M01301250,Pass,24,0.48488129262142177
1122299M01301490,Pass,14,0.7045630888063814
1122298M01102500,Pass,14,0.5169736920640984
1122299M01401420,Pass,31,0.1573021990048779
1122298M01302680,Pass,11,0.3422181950989392
1222299M01201200,Pass,13,0.7168082885937286
1122298M01302600,Pass,34,0.28075279686100874
1122299M01100630,Pass,13,0.6747031893249347
1122299M01201320,Pass,14,0.6040866905512756
1122299M01100870,Pass,21,0.2388627968938309
1122299M01301650,Pass,32,0.2834070968149136
1122299M01400780,Pass,22,0.4029156940448536
1122299M01301290,Pass,32,0.35562239556080755
1122299M01401380,Pass,34,0.27385569698078527
1122299M01300650,Pass,11,0.2427645968260714
1222299M01101190,Pass,23,0.4303821935678646
1122299M01100670,Pass,32,0.28273039682666534
1122299M01100140,Pass,24,0.4905981925221408
1222299M01301050,Pass,22,0.5896605908018024
1122299M01101590,Pass,12,0.42110179372902995
1122299M01200760,Pass,34,0.33457479592632455
1122298M01102500,Pass,22,0.4182183937791037
1122298M01302520,Pass,34,0.2985738965515238
1222299M01201080,Pass,32,0.4436989940312507
1222299M01401060,Pass,31,0.15613519902514428
1122299M01100270,Pass,23,0.5496551914965445
1222299M01101110,Pass,23,0.3045399957532668
1122299M01400700,Pass,24,0.623063690221717
1122299M01400380,Pass,12,0.6136497903852007
1122298M01402650,Pass,13,0.5986446906457825
1122299M01201760,Pass,12,0.5554247913963484
1122299M01301610,Pass,14,0.5745967910634033
1122299M01100270,Pass,22,0.48505159261846426
1122299M01200800,Pass,31,0.1580140989925149
1122299M01200600,Pass,23,0.37933099445443047
1122299M01100020,Pass,22,0.33941399514763754
1122299M01100710,Pass,13,0.7175949885800665
1122299M01100550,Pass,34,0.2966521965848964
1122298M01402530,Pass,11,0.25384119663371285
1122299M01300490,Pass,23,0.4852379926152272
1122299M01301690,Pass,31,0.15678039901393961
1122298M01102540,Pass,14,0.43414569350250687
1122299M01401260,Pass,31,0.15263839908587046
1122299M01301690,Pass,33,0.3350057959188397
1122299M01400580,Pass,23,0.5117631921545849
1122299M01100140,Pass,13,0.5228622919618358
1222299M01100990,Pass,33,0.28043989686644266
1122299M01301730,Pass,23,0.37811339447557557
1122299M01200480,Pass,31,0.1553243990392248
1122299M01100750,Pass,31,0.15364159906844865
1222299M01401060,Pass,21,0.23102169703000108
1222299M01401060,Pass,13,0.6710733893879703
1122299M01100220,Pass,11,0.24034509686808897
1222299M01101150,Pass,32,0.30844759638005503
1122299M01201520,Pass,32,0.28358749681178075
1122299M01300770,Pass,14,0.7444034881145045
1122299M01200440,Pass,31,0.16180309892671435
1222299M01101150,Pass,13,0.814926786889782
1122299M01100950,Pass,21,0.2075157974382095
1222299M01301210,Pass,34,0.24567329747020675
1122299M01101670,Pass,21,0.20634389745856097
1122298M01302520,Pass,24,0.4024427940530661
1122299M01100060,Pass,14,0.5473598915364052
1122299M01101470,Pass,12,0.4433690933423314
1122299M01400130,Pass,34,0.2624181971794113
1222299M01401020,Pass,22,0.48358299264396826
1122299M01400540,Pass,11,0.24911379671580985
1122299M01100670,Pass,23,0.35970449479526845
1222299M01101190,Pass,31,0.15774529899718295
1122299M01101510,Pass,14,0.5249433919256948
1122298M01402570,Pass,31,0.1575520990005381
1122298M01102460,Pass,24,0.4314405935494842
1122299M01401620,Fail,11,0.25244529665795434
1122299M01201400,Pass,21,0.19887659758823967
1122299M01200600,Pass,31,0.15972579896278916
1122299M01200640,Pass,33,0.41137009459268115
1122299M01200280,Pass,12,0.7234124884790385
1122299M01101350,Pass,13,0.5193202920233468
1222299M01301170,Pass,14,0.6117592904180316
1122299M01100550,Pass,23,0.3863080943332647
1122299M01400500,Pass,33,0.3500134956582128
1122299M01400460,Pass,23,0.4800084927060438
1122299M01201240,Pass,13,0.6130072903963586
1122299M01301330,Pass,11,0.29692519588550703
1122299M01201680,Pass,23,0.5577539913558991
1122299M01200280,Pass,11,0.2547332966182204
1222299M01201200,Pass,11,0.2599194965281558
1122299M01100470,Pass,33,0.33502339591853403
1122299M01200760,Pass,22,0.6120165904135633
1122299M01200920,Pass,24,0.4719437928460971
1122298M01202710,Pass,22,0.43261409352910496
1122299M01200840,Pass,14,0.776401387558822
1122298M01402690,Pass,24,0.4771679927553725
1122299M01100550,Pass,22,0.5564562913784352
1122299M01100590,Pass,33,0.3565377955449105
1122299M01100060,Pass,23,0.3823789944014983
1122299M01400380,Pass,22,0.39933679410700557
1122299M01400300,Pass,13,0.5610898912979672
1122299M01101510,Pass,21,0.28974009601028494
1122299M01300200,Pass,24,0.6213450902515627
1222299M01101230,Pass,34,0.2586536972447864
1122299M01300410,Pass,23,0.4708506928650801
1122299M01400210,Pass,11,0.25982189652985077
1122299M01401300,Pass,14,0.5425597916197646
1122299M01200840,Pass,32,0.24605569746356593
1222299M01301090,Pass,23,0.4948089924490152
1122299M01401300,Pass,32,0.2895711967078666
1122299M01300610,Pass,31,0.15166949910269656
1122298M01202590,Pass,23,0.489949392533408
1122299M01200960,Pass,11,0.29610089589982197
1122299M01300040,Pass,12,0.5572411913648044
1122298M01402650,Pass,22,0.5128684921353901
1122299M01400700,Pass,13,0.7113502886885135
1122299M01101750,Pass,24,0.4329847935226673
1122299M01400090,Pass,22,0.4728238928308131
1122299M01401380,Pass,23,0.4675896929217113
1222299M01101190,Pass,34,0.2876718967408502
1222299M01201120,Pass,14,0.5663481912066504
1122299M01301730,Pass,32,0.31749619622291514
1122299M01301810,Pass,11,0.2443597967983688
1122299M01100140,Pass,33,0.26168829719208686
1122298M01102700,Pass,22,0.5680832911765183
1122298M01202590,Pass,11,0.26238399648535676
1122299M01400300,Pass,24,0.35191359493056684
1122299M01400130,Pass,31,0.1559985990275165
1122299M01201720,Pass,24,0.4822613926669195
1122299M01101670,Pass,24,0.42750929361775597
1122299M01200680,Pass,13,0.7437705881254955
1122299M01400900,Pass,23,0.444401693324399
1222299M01101150,Pass,24,0.530184591834675
1122299M01300120,Pass,23,0.5127360921376893
1122299M01400820,Pass,32,0.3060079964224216
1122299M01401460,Pass,34,0.3951335948746476
1122299M01100310,Pass,12,0.6892255890727357
1122299M01401700,Pass,31,0.15700909900996796
1222299M01100990,Pass,11,0.25342149664100144
1222299M01201040,Pass,23,0.5105476921756936
1122299M01200440,Pass,12,0.5655010912213614
1122299M01100350,Pass,21,0.22044519721367484
1122299M01100430,Pass,34,0.29697649657926456
1122299M01400420,Pass,33,0.37755379517994214
1122299M01101590,Pass,22,0.5967464906787472
1122299M01300690,Pass,14,0.7907740873092228
1222299M01301050,Pass,12,0.72965038837071
1122299M01101710,Pass,12,0.4413475933774372
1122299M01401380,Pass,21,0.21372819733032367
1122299M01100350,Pass,32,0.25510119730647984
1122299M01201360,Pass,22,0.42301519369580143
1122299M01401300,Pass,34,0.2832874968169906
1122299M01401540,Pass,22,0.5447275915821183
1122299M01300930,Pass,22,0.6233167902173216
1122299M01400900,Pass,31,0.1521821990937929
1122299M01100100,Pass,34,0.3078186963909766
1222299M01201160,Pass,13,0.7245942884585153
1122299M01201400,Pass,32,0.2817078968444223
1122299M01401540,Pass,23,0.2840037961099028
1122299M01201600,Pass,22,0.5500848914890822
1122299M01100870,Pass,14,0.6458044898267954
1122299M01301650,Pass,34,0.2814240968493508
1122299M01101310,Pass,24,0.46786969291684877
1122299M01200840,Pass,24,0.4439404933324083
1222299M01400980,Pass,34,0.336521595892516
1122299M01400620,Pass,24,0.4016710940664676
1122299M01200520,Pass,34,0.3599380954858601
1122299M01400460,Pass,34,0.32734229605192566
1122298M01202470,Pass,12,0.4578944930900802
1122299M01201560,Pass,33,0.29351389663939675
1122299M01301690,Pass,21,0.19921809758230913
1122299M01201400,Pass,31,0.15423369905816614
1122299M01400820,Pass,31,0.15735269900400092
1122299M01100590,Pass,21,0.251986496665922
1122299M01300650,Pass,21,0.25187309666789126
1122299M01200880,Pass,12,0.6956077889619008
1222299M01301010,Pass,22,0.5240012919420556
1122299M01200320,Pass,22,0.5734317910836351
1122298M01102540,Pass,32,0.25092279737904283
1122298M01302680,Pass,13,0.5564319913788571
